id,cost,link,name,name_long,qty,store,shipping
464471,6.0,https://d20battleground.co.za/products/tome-scour-magic-2010,Tome Scour,Tome Scour [Magic 2010] - Near Mint,9,D20Battleground,90
464467,8.0,https://store.topdecksa.co.za/products/tome-scour?_pos=1&_psq=Tome%20Scour&_ss=e&_v=1.0,Tome Scour,Tome Scour - Magic 2010,1,TopDeck,90
464469,8.0,https://store.topdecksa.co.za/products/tome-scour?_pos=1&_psq=Tome%20Scour&_ss=e&_v=1.0,Tome Scour,Tome Scour - Magic 2011,1,TopDeck,90
464473,25.0,https://shop.dracoti.co.za/product/tome-scour-foil/,Tome Scour,Tome Scour (FOIL),1,Dracoti,90
464468,66.0,https://store.topdecksa.co.za/products/tome-scour?_pos=1&_psq=Tome%20Scour&_ss=e&_v=1.0,Tome Scour,Tome Scour - Magic 2010 (Foil),1,TopDeck,90
83458,135.0,https://store.topdecksa.co.za/products/tome-scour?_pos=1&_psq=Tome%20Scour&_ss=e&_v=1.0,Tome Scour,Tome Scour - Magic 2011 (Foil) (French),1,TopDeck,90
260207,3.0,https://shop.dracoti.co.za/product/twiddle-3/,Twiddle,Twiddle,2,Dracoti,90
184515,4.0,https://www.thewarren.co.za/shop/card/twiddlestick-charger,Twiddle,Twiddlestick Charger - Unstable,8,The Warren,90
143934,5.0,https://d20battleground.co.za/products/twiddlestick-charger-unstable,Twiddle,Twiddlestick Charger [Unstable] - Near Mint,7,D20Battleground,90
143935,6.0,https://d20battleground.co.za/products/twiddle-fourth-edition,Twiddle,Twiddle [Fourth Edition] - Near Mint,3,D20Battleground,90
143932,7.0,https://d20battleground.co.za/products/twiddle-eighth-edition,Twiddle,Twiddle [Eighth Edition] - Near Mint,2,D20Battleground,90
143933,7.0,https://d20battleground.co.za/products/twiddle-fifth-edition,Twiddle,Twiddle [Fifth Edition] - Near Mint,2,D20Battleground,90
76197,8.0,https://store.topdecksa.co.za/products/twiddle?_pos=1&_psq=Twiddle&_ss=e&_v=1.0,Twiddle,Twiddle - Fifth Edition,3,TopDeck,90
76198,8.0,https://store.topdecksa.co.za/products/twiddle?_pos=1&_psq=Twiddle&_ss=e&_v=1.0,Twiddle,Twiddle - Fourth Edition,2,TopDeck,90
307827,3.0,https://www.thewarren.co.za/shop/card/void-snare,Void Snare,Void Snare - Magic 2015 Core Set,5,The Warren,90
147275,5.0,https://d20battleground.co.za/products/void-snare-magic-2015,Void Snare,Void Snare [Magic 2015] - Near Mint,8,D20Battleground,90
307828,5.0,https://www.sadrobot.co.za/shop/void-snare/,Void Snare,Void Snare - Magic 2015,37,SadRobot,90
147273,8.0,https://store.topdecksa.co.za/products/void-snare?_pos=1&_psq=Void%20Snare&_ss=e&_v=1.0,Void Snare,Void Snare - Magic 2015 Core Set,13,TopDeck,90
385673,445.0,https://www.thewarren.co.za/shop/card/void-snare,Void Snare,Void Snare - Magic 2015 Core Set (Foil),1,The Warren,90
38287,295.0,https://luckshack.co.za/index.php?route=product/product&product_id=63554,Watery Grave,Watery Grave,2,Luckshack,90
349961,360.0,https://www.sadrobot.co.za/shop/watery-grave-2/,Watery Grave,Watery Grave (SP) - Ravnica City of Guilds,4,SadRobot,90
358065,395.0,https://shop.dracoti.co.za/product/watery-grave-2/,Watery Grave,Watery Grave,3,Dracoti,90
420453,400.0,https://www.sadrobot.co.za/shop/watery-grave-4/,Watery Grave,Watery Grave - Ravnica City of Guilds,3,SadRobot,90
